,Golden_grains
467,1405744.8773905262
468,1332471.9830427547
469,1064376.1134765572
470,1234067.308498656
471,1462760.5009090197
472,1316909.8177572715
473,1450206.5565841484
474,1517896.0940716178
475,1365200.2066285843
476,1392004.6108246094
477,1513486.4075537585
478,1244219.2651667865
479,1401359.3110762471
480,1433678.523007342
481,1516552.3996522855
482,1304196.1929538131
483,1245665.0456785676
484,1314194.1619916665
485,1448623.278727667
486,1383358.008977445
487,1321035.4834216712
488,873243.0533778829
489,1432472.4143363342
490,1108218.6905286696
491,1379232.1816066436
492,1390191.4761400092
493,1179262.3259227742
494,1429447.9219677832
495,1259878.0288310987
496,1260474.8957639944
497,1433627.8697749525
498,1282531.8281122765
499,774071.2436109737
500,1333001.439889108
501,1325003.3527947078
502,1427874.1565131478
503,1364008.098350194
504,1348271.1816544218
505,1461953.1988749036
506,1142289.2093295224
507,1440302.2173390018
508,1003691.3070018283
509,1096186.4055520853
510,1323470.9483519532
511,1380383.1441182338
512,1149539.0025135917
513,1342983.6238775398
514,1413547.2363816362
515,1378652.5497844038
516,1352457.795271871
517,1184982.8157493125
518,1465645.0088261412
519,1538620.9251144307
520,1524734.1605433517
521,1358523.8158543902
522,1281809.3375314693
523,1241768.7051440226
524,1420980.6763865808
525,1454598.6583253255
526,1434037.595311286
527,1269297.6806786489
528,1380822.6310567237
529,1309863.9854632656
530,1451211.3513407768
531,1387292.4168551785
532,1535227.2245134225
533,1421313.8039280425
534,1310174.4540652388
535,1289454.8608042744
536,1422440.7796862938
537,1448363.733126897
538,1340089.2104134127
539,1505096.003854285
540,980793.2384405053
541,1093897.3201785784
542,1314872.4596369867
543,1224006.2341505636
544,1266739.993011779
545,1355096.3751490489
546,1389875.1909637938
547,1432227.8758067472
548,1068855.9557536573
549,1426141.905640674
550,1334818.0416438386
551,1368731.301329363
552,1327471.1013650515
553,1213527.7550987715
554,1463027.3988982392
555,1021685.5511696059
556,1415089.381589065
557,1103497.5021896712
558,1398092.0885313847
559,1307777.940070467
560,1163211.6046692363
561,1145826.2523057575
562,1643291.4507331094
563,1220938.918163498
564,1388445.6542182728
565,1250582.5512061112
566,1109521.1188672448
567,1160087.0870997997
568,1129647.0274716865
569,1486574.2742333475
570,1218052.3892076693
571,1430475.0348957437
572,1515535.841269996
573,1171564.0386844974
574,1149991.9168769123
575,1191145.3085914315
576,1171774.1717348185
577,1492768.700790356
578,1381296.136302217
579,1357410.6709231646
580,1172193.2226571883
581,1306263.626394436
582,1463466.9178743712
583,1321116.8640892075
584,1394444.2289063158
585,1570597.300807462
586,1111682.0314087502
587,1256821.9055302406
588,1443260.5911944162
589,1298523.7387663587
590,1370158.9661925696
591,1149244.11815594
592,1380887.762503804
593,977395.7044755918
594,1587714.2106128875
595,1041517.4623179152
596,1175190.7469424137
597,1223467.799760126
598,1320077.9004800448
599,999929.0664447913
600,1427089.395172114
601,1393104.9650533905
602,1390078.8930471402
603,1433949.4630608358
604,1064730.3938998256
605,1332325.9499812971
606,1452739.9463769775
607,1438002.1122645715
608,1416494.5705125101
609,1520939.4552421893
610,1463283.4587407731
611,1454227.2159418238
612,1065337.2010847789
613,1388655.7214428224
614,1233476.7511787098
615,1498940.4511354968
616,901916.1355490064
617,1276962.5303227212
618,1241830.4107824957
619,1268962.169213045
620,1069659.4164553203
621,1360097.8574874552
622,1366069.5868181973
623,1406337.3681144854
624,1468757.6802985927
625,1372682.925109002
626,1212641.0846173426
627,1181660.63753352
628,1294773.5552793266
629,1380753.2297855348
630,1538814.1094174962
631,1159261.6272096965
632,1383764.3226537749
633,954690.8249406358
634,1303208.6691169154
635,1469608.5801390428
636,1517668.786228171
637,1129094.1763941445
638,1444182.8344669093
639,1168013.6358914154
640,1553090.4860165156
641,1309535.5524844744
642,1402625.357866622
643,1368284.878200237
644,1431239.720751183
645,1369586.32115927
646,1037173.9849302849
647,1397123.3617854225
648,1310087.0239477418
649,1389475.6453052508
650,1326125.3120485104
651,1461166.725472132
652,1198846.6218604862
653,1433053.7706487258
654,1379542.9420447038
655,1133725.597710979
656,1164238.7253404104
657,1221233.4146361435
658,1107534.1741952433
659,1480888.33202473
660,1120068.4195413934
661,1225011.1053116375
662,1427818.5974639533
663,1087591.0428459232
664,1507104.406672262
665,1238495.2971025566
666,1364678.5806544495
667,1244142.85344432
668,1413275.8895714693
669,1291060.308038919
670,1463518.1528216167
671,1306482.2076508522
672,1068903.3980426358
673,1468174.1641943916
674,1070637.3577843034
675,1504457.7564177678
676,1476993.684914515
677,1398953.5349291249
678,1023663.7643638622
679,1326034.8747240475
680,1276617.2440819973
681,1284732.9485602088
682,1212435.7777345635
683,1363717.472098794
684,1338246.054756503
685,1350095.9702382751
686,1386265.6414129126
687,1365894.042232974
688,1311943.6106511746
689,1244491.1615393427
690,1396684.1247475313
691,1191489.1757097798
692,1340925.562014168
693,1427560.9766665318
694,1502305.9917058314
695,1317844.3411772244
696,1470411.219857899
697,1453600.3764324456
698,1299558.658892876
699,1503611.3265535394
700,1386166.032738733
701,1414645.254377986
702,1536085.5175174205
703,1268812.7572717133
704,1376904.0976740995
705,1402289.773433914
706,1436759.1370277079
707,958167.339551184
708,1443142.0936643076
709,1067638.702653976
710,1457947.1822932744
711,1222102.2189002724
712,1143010.4448249373
713,1240750.4504951825
714,1016965.258660368
715,1165195.1772846759
716,1355115.4866670787
717,1276726.8652464412
718,1441361.2964663168
719,1461157.6519352158
720,1246715.984154243
721,1387150.133431915
722,1260998.5578893549
723,1417719.9736775125
724,1386362.8685051484
725,1211674.8722280317
726,1277545.0474721529
727,1245902.5640955104
728,1372205.8413130434
729,1480584.3412629548
730,1211743.8820912999
731,1482213.0625752637
732,1287427.2486070567
733,1548288.9494537243
734,885543.9383001381
735,1454096.6976330555
736,1359179.6125106814
737,1487798.9730687714
738,1452528.7682507152
739,1327203.1004184345
740,1001201.1455025821
741,1504063.9151502457
742,1358472.8454118264
743,1165515.359688499
744,1321425.9157949693
745,1238923.9950326195
746,1285614.3068035645
747,1529641.8860719441
748,1491294.3759189188
749,1475997.5053046567
750,1474640.4765334046
751,1278832.3457913655
752,1356900.441664629
753,1273877.7602575151
754,1402138.3062745263
755,1185689.1204266069
756,1505352.0837493977
757,1457152.5526957791
758,1224040.3707324232
759,1381146.814569794
760,1286577.6331706643
761,942297.3732116793
762,1550284.0382545062
763,1282349.0276201493
764,1317015.7004674699
765,1078591.1998367375
766,1410012.5846577226
767,1341905.743192617
768,1285121.9617321133
769,1399985.4361670949
770,1375172.8221369232
771,1352875.0815619393
772,1300567.5032111693
773,1380681.3306223266
774,1504060.406108533
775,1029091.1274014255
776,990901.7399389263
777,1105535.0618757508
778,1378196.969804768
779,1406519.7375808796
780,1208291.002043973
781,1340889.4313779657
782,1060729.2503747216
783,1452517.7131040795
784,1452553.7005710425
785,1133730.6519171577
786,1230520.5094381515
787,1230157.8320546173
788,1428998.683546704
789,1320868.1063463807
790,1174591.4980398982
791,1403876.0669809533
792,1416125.6202359342
793,1147827.645346577
794,1430870.333278451
795,1541111.470366584
796,1353496.0702768157
797,1343707.6819540486
798,1478554.1328842987
799,1421473.3299508046
800,1398086.4395884299
801,1161967.3412446887
802,1348875.2260447224
803,1325404.0683788375
804,1317268.1650356217
805,1381441.7603237703
806,1100037.957305735
807,1333480.1031862062
808,1432305.7229428063
809,1080053.1453885494
810,1270752.32229986
811,1158435.60919317
812,1288513.8245404263
813,1221817.902685576
814,1220185.0661683679
815,1364801.8974376533
816,1443518.6832293144
817,1341610.920691796
818,1373703.0804402875
819,1277052.5533912994
820,1174919.3761387144
821,1468939.495998727
822,1031919.8797882954
823,963699.0168387266
824,1190618.5034654122
825,1472388.05410926
826,1486106.7751166455
827,1199818.0330640017
828,1352198.667390882
829,1306677.2518200239
830,1367641.0926257786
831,991763.1122949132
832,1395012.1600626928
833,1236677.5978419513
834,1456551.1210027528
835,1203595.6558292536
836,1449241.3266421563
837,1352258.0636920242
838,1465608.242844638
839,1280328.1017985134
840,1453283.34990544
841,1460158.2744152767
842,1512098.2281064233
843,1469878.211843233
844,1119194.9597095402
845,1287037.326470268
846,1431059.5138888974
847,1223507.8557653804
848,1337248.1761274247
849,1470361.4730993803
850,1434586.7651745328
851,1443866.5476991332
852,1392579.502160401
853,1406311.863639448
854,1412895.8088444376
855,1235700.2422104434
856,1156834.4997189466
857,1275947.1724504542
858,1285587.1754234543
859,1102279.845008065
860,1022751.7676359763
861,1452512.7499324228
862,1423887.5355046883
863,1392982.6735931751
864,1456643.75540389
865,1509736.1081949072
866,1384819.62836886
867,997783.7559994402
868,1374699.5888379116
869,1437418.5830444626
870,1374589.392784037
871,1384019.0533510176
872,932652.4109637073
873,1448877.6307341533
874,1041393.9320327332
875,1336405.2959158872
876,1450283.1103663412
877,1328144.7575446381
878,1343089.8986488162
879,1478098.8181845238
880,1118737.8112772135
881,1392699.1841187074
882,887735.2208293076
883,1345607.2595349355
884,1362867.9009432485
885,1076061.6075923874
886,1347604.2481652277
887,1289312.4990720558
888,1480937.8599281027
889,1404108.8333381375
890,1344115.679312709
891,1282478.6303286403
892,1457334.94211192
893,1269077.755125426
894,1465441.814137136
895,1461991.3057255847
896,1460430.7203361562
897,1401936.5155234097
898,1382505.103205414
899,1398114.1663878222
900,1502013.2726089873
901,1114576.003076025
902,1591908.5430181674
903,1439229.4145938044
904,946846.9102726274
905,1577001.647496141
906,1122158.2788284528
907,1410918.4831319766
908,1004147.0063161367
909,1503456.218434848
910,1422281.4421803148
911,1328985.8306393982
912,1351500.157886804
913,1351288.0306621613
914,1321450.0515331877
915,970362.5272219618
916,1453494.1155647552
917,1439415.4052883913
918,1048242.7904167572
919,1393854.9728941312
920,1460849.8189928785
921,1288861.3429595693
922,1420300.5951313006
923,1495288.8680385193
924,1432442.2585671581
925,1202991.7960954388
926,1008434.2940866277
927,1242000.5443404126
928,1156042.667427798
929,1416273.7186049041
930,1111966.376580164
931,1459931.2537661612
932,1162768.1402775035
933,1579473.637049813
934,1261341.840542191
935,1432445.721483165
936,1396627.1303293484
937,1496726.5288118224
938,1264777.648317236
939,1535950.8105052882
940,1403320.54940539
941,1201761.739466004
942,1347763.601908277
943,1400221.4132650485
944,905447.9666592855
945,1311352.4076340997
946,1273319.5154717877
947,1432888.0684661125
948,1405659.8310621113
949,1424105.9554441439
950,1279976.803961555
951,1487085.930862527
952,1499587.7665406968
953,1296926.1109159722
954,1310806.4849097424
955,1357251.4564315116
956,1352051.126777377
957,1395794.575308501
958,1480497.938566292
959,1269728.8251346045
960,1263734.8385417482
961,871888.8031943917
962,1479453.9993876682
963,1077789.6893264449
964,1350394.7325722084
965,1474177.2719520293
966,1381428.9846086628
967,1234124.8756971045
968,925898.9292070119
969,1320698.0559753664
970,1510568.110602295
971,1509657.605319126
972,1301432.6550777194
973,1442863.016966006
974,1212748.3961860877
975,1292415.0496990702
976,1141070.6894217527
977,1505237.9201070343
978,1299636.1644188138
979,1329741.3806146418
980,1497396.1840239519
981,1244134.0027023389
982,1278246.6563857123
983,1409222.2407624878
984,1429387.6964333295
985,1457364.2274299364
986,1272516.1754754446
987,1198875.49614971
988,1250634.464838718
989,1500228.2341814404
990,1280972.686608939
991,1419655.744781079
992,1423574.654259282
993,1167794.3440898086
994,1343541.2021494913
995,1427957.4388841153
996,1352638.8051886223
997,1447277.1106518703
998,978102.1968531201
999,1321556.8351365738
1000,1375489.9756964773
1001,1295064.6104335543
1002,1371669.074257139
1003,1259422.6913405615
1004,1149442.7880437467
1005,1536630.3944276182
1006,1324640.2852136225
1007,1008348.5012855353
1008,1063195.689753563
1009,1368342.7211011553
1010,1359207.5218338512
1011,1387979.8090915116
1012,906205.3503737953
1013,1146638.0957744564
1014,1239282.0031948916
1015,1301874.086578692
1016,1453874.6733097825
1017,1350139.1237073017
1018,1412241.0765766269
1019,1301569.548970073
1020,1380959.8983417153
1021,1320511.7342436572
1022,1107550.539842877
1023,1448772.0952396246
1024,1099149.9119544278
1025,1390399.6997315392
1026,1378842.6636606657
1027,1269086.0655414893
1028,1565364.031252539
1029,1258972.7307057013
1030,1558677.6241180561
1031,1368678.730324272
1032,1392717.4057171822
1033,1011325.3393626472
1034,1306317.9609297402
1035,1373685.2068372408
1036,1312330.4628808277
1037,1221713.8138899691
1038,1204658.3898757128
1039,1423544.5452036331
1040,1453219.6069814367
1041,1441694.0025398566
1042,1088704.4026044866
1043,1322388.926720071
1044,1245426.8061801626
1045,1311932.784506951
1046,1430018.5702015376
1047,1428975.0408242552
1048,1098482.302632054
1049,1296902.5797884224
1050,1131947.4276281048
1051,1385618.4220640003
1052,1184404.5373154976
1053,881374.6525971
1054,1395760.7926704637
1055,1192226.8851945593
1056,1427228.807691038
1057,967738.5086418247
1058,1204100.0451323881
1059,1356682.8525088783
1060,1218976.876561558
1061,1193092.7288512846
1062,1477148.2704127608
1063,1330595.129405213
1064,1290785.873759607
1065,1394404.4313154717
1066,1367758.761764941
1067,1502905.361267103
1068,1368673.6857681428
1069,912017.8695558906
1070,1299440.4007991354
1071,1360308.1632985193
1072,1483153.9160220262
1073,1289572.7951026869
1074,934161.8611267158
1075,1055189.0356499318
1076,1286365.7721031453
1077,1121114.7421667674
1078,1427958.6998347559
1079,1534420.8616903108
1080,1487324.5033694624
1081,1253468.118006515
1082,1435020.3565594505
1083,1320153.0502816574
1084,1247753.6917952967
1085,1445166.4360061646
1086,1019499.2912355692
1087,1414268.6100698991
1088,1125458.2977718771
1089,1245280.633157626
1090,1243387.3809318333
1091,1242128.6638398175
1092,963121.3584158614
1093,1319346.7854412028
1094,1301014.9914755751
1095,980591.1633548491
1096,1512597.788750996
1097,1276810.2758560032
1098,1479805.689730246
1099,1394896.668820779
1100,1561908.3777819672
1101,1036454.3587655863
1102,1280234.628486747
1103,1064013.4473187765
1104,1377025.5565060033
1105,1161163.047987224
1106,1242218.9704933837
1107,1317840.0643093463
1108,1425420.4521347396
1109,1553156.1688337869
1110,1439887.0093766947
1111,1331038.9414979378
1112,1281700.7148253843
1113,1277934.099402257
1114,1514930.2519100155
1115,1346315.0959646148
1116,1277409.254263004
1117,1382892.8317415575
1118,1478910.4951680007
1119,1490892.3137014105
1120,1205137.0444607623
1121,1503110.7849921598
1122,1268412.168452322
1123,930925.9098957645
1124,1422979.9964203215
1125,1536077.473511493
1126,1345649.722624186
1127,1378302.3396039149
1128,1454899.6087308251
1129,1458665.1129372076
1130,1390250.4548923525
1131,1328070.2786498852
1132,1391855.3836371659
1133,1200211.7623287789
1134,1203183.013346078
1135,1171706.0804003563
1136,1386513.2103805277
1137,1321214.4358053822
1138,1452249.344023794
1139,1090195.7315093772
1140,1245342.7326056915
1141,1402270.3138785996
1142,1192122.713360255
1143,1302459.6800437502
1144,1476320.9467236383
1145,1391469.5059196653
1146,1133461.9841501447
1147,1386893.59688619
1148,1299936.8570785911
1149,1517387.081692622
1150,1283407.3136288063
1151,1220556.0914705899
1152,1553043.5227923864
1153,1337402.8217600833
1154,1446902.349352355
1155,1306405.252966979
1156,1007645.0135674
1157,1116220.4093936344
1158,1390806.1482840974
1159,1420089.3488218994
1160,1341051.095507603
1161,1363721.3922269433
1162,1056856.116819963
1163,1455127.1923596936
1164,1395792.3659178186
1165,1448628.8907813558
1166,1491528.5079376441
1167,1392537.7772073364
1168,1452394.8579477326
1169,1426851.9992350917
1170,1445261.4416122867
1171,825447.8060407114
1172,1360620.59495656
1173,990893.0768720086
1174,1415352.763901411
1175,1201297.7368588897
1176,1035562.4755025223
1177,1513528.9799704074
1178,1285019.8592458423
1179,928420.3537833869
1180,1351305.7886385974
1181,1167992.0970779667
1182,1408482.802042939
1183,1041540.170359218
1184,1078400.8688977265
1185,1458481.0708206939
1186,1405745.61756439
1187,1133283.1260121576
1188,1166694.9153288715
1189,1496481.744437803
1190,1387907.390244609
1191,1356528.3286795022
1192,1141462.9349642564
1193,1445892.4787307899
1194,1378260.7035842147
1195,1152695.8252564103
1196,1298113.4665286255
1197,1317940.3736089396
1198,1114093.2962802935
1199,1406156.4933714804
1200,1463961.2880665439
1201,1381610.6372375777
1202,1125477.5003143104
1203,1233909.6897216027
1204,1445908.1824529686
1205,1467183.943892873
1206,1229369.4084955044
1207,1402496.6048929936
1208,1215877.5625332785
1209,1284685.2559284358
1210,1427015.2108412809
1211,1246656.2370708773
1212,1163477.3526010853
1213,1314925.3617219804
1214,1473327.0423514436
1215,954162.5383557737
1216,1576943.7368163618
1217,1349428.8332538933
1218,1540838.2586103107
1219,1125241.2058413432
1220,1410270.0421044675
1221,1020275.4663337047
1222,1072957.9720180593
1223,1516046.8813409887
1224,1424086.2658427826
1225,1222911.5417504178
1226,1099266.1107776943
1227,1555634.341362299
1228,1438350.4625856793
1229,1502983.7844061423
1230,1341890.8411138682
1231,1462914.3344859658
1232,1453595.225070934
1233,1345390.2599026586
1234,1437021.3342599194
1235,1395697.5314876523
1236,1226606.8021947707
1237,1257019.5271892804
1238,1454276.3038086302
1239,986004.6611955516
1240,1525356.4182691944
1241,1350094.2836838022
1242,1211621.7485222092
1243,1137041.7574969137
1244,1210401.623955339
1245,1289267.775460498
1246,1317456.177437769
1247,1356200.2058944344
1248,1361207.7000941962
1249,1392486.4757308501
1250,1446932.5884342676
1251,1118139.8934884374
1252,1190552.5036297154
1253,1084414.256472095
1254,1368690.4900722837
1255,1147130.7944602214
1256,1070864.0693789423
1257,1247342.6948673003
1258,1422124.5899815152
1259,1189643.2341545161
1260,1245833.5347009576
1261,1568737.715342842
1262,1336860.9544217095
1263,1440727.308022358
1264,1392033.7055651925
1265,1351351.4702061096
1266,1426734.7203220876
1267,1182418.4545955234
1268,1270053.5956617608
1269,1452484.3708720922
1270,1427611.1498475443
1271,1509217.1800999816
1272,1322552.0890807032
1273,1035826.6755524079
